Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	Time
138	8397.545	99.97657	8556.959	8298.62	0.047847167	0.003569035	0.055531554	0.04033015	5692.987321615219
139	8427.225	300.1509	8878.205	8048.469	0.050866906	0.0033082773	0.060901195	0.043236967	5735.421228885651
140	8490.053	211.95844	8800.645	8216.094	0.048307296	0.0034436504	0.054861553	0.04020612	5778.125252723694
141	8390.067	181.65121	8628.722	8155.8	0.046425037	0.0033674496	0.053360492	0.040586464	5818.366233587265
142	8679.952	165.24287	8817.368	8405.493	0.04680896	0.002943444	0.053460162	0.04086369	5861.060615301132
143	8538.814	143.97375	8773.083	8380.304	0.04343554	0.00241077	0.050282184	0.040030375	5901.948300361633
144	8495.74	277.74475	8930.795	8202.536	0.045914553	0.0029820907	0.054231633	0.04084464	5942.231810808182
145	8694.437	83.150185	8788.476	8571.276	0.05131811	0.0020990407	0.056523323	0.04732073	5984.23570895195
146	8669.014	175.9374	8832.398	8372.566	0.05191687	0.0036722426	0.059235536	0.044237025	6022.054672718048
147	8757.377	182.00659	8975.315	8512.715	0.05093997	0.002818398	0.057221968	0.04436709	6064.532261371613
148	8763.216	118.84549	8898.036	8572.657	0.049918633	0.004357773	0.057544842	0.041928653	6103.122228145599
149	8676.951	46.29418	8708.944	8597.166	0.048574515	0.0038362127	0.057068978	0.037558533	6143.055080413818
150	8753.44	150.61621	8961.003	8548.114	0.049345527	0.0026856277	0.054402612	0.04393045	6186.29337978363
151	8632.841	135.47504	8767.565	8440.295	0.051073678	0.0037007541	0.06035072	0.04140792	6224.355139255524
152	8805.946	35.697636	8842.341	8749.313	0.049595047	0.0023505248	0.054466013	0.045462303	6267.265829563141
153	8662.469	66.19335	8723.863	8558.152	0.05022797	0.0029141235	0.05747642	0.043151636	6306.981585979462
154	8497.873	70.612656	8587.25	8410.638	0.049388237	0.002113222	0.05317018	0.045034923	6345.888921022415
155	8763.825	87.39185	8889.813	8663.826	0.05146439	0.0037175005	0.059981745	0.0439764	6387.6643846035
156	8784.384	56.104378	8857.72	8708.363	0.056454193	0.0025395735	0.061534975	0.04820182	6430.4291524887085
157	8782.827	74.267044	8865.807	8686.518	0.054531828	0.0030291316	0.06110854	0.048445486	6473.036430358887
158	8659.414	212.123	8970.62	8417.775	0.05182528	0.0031756698	0.061112452	0.04425903	6512.359588861465
159	8652.71	96.97551	8784.561	8555.956	0.053493842	0.0037724888	0.061861593	0.046876464	6554.985636711121
160	7805.709	911.7252	8763.787	6409.9077	0.04828714	0.0039232615	0.057213236	0.040242534	6595.516898393631
161	8786.05	165.79297	9043.079	8579.956	0.050864853	0.004383829	0.059248712	0.04085954	6636.547664165497
162	8765.061	114.20443	8869.215	8579.21	0.049146395	0.0040140897	0.057249572	0.040245518	6674.531641244888
163	7851.011	1507.0874	8801.822	5242.1587	0.05066188	0.003311142	0.05777913	0.04355596	6717.044752597809
164	8273.359	686.4555	8950.635	7318.124	0.04756494	0.0028730305	0.053312477	0.04230344	6759.102747917175
165	8779.848	173.52568	9055.002	8627.124	0.04690138	0.0039238813	0.05325758	0.038582947	6800.861630678177
166	8716.56	122.33106	8827.041	8513.686	0.0478341	0.0038219937	0.057487834	0.040820036	6843.596813440323
167	8656.365	85.21356	8783.664	8550.233	0.048566476	0.0035780866	0.054895468	0.040843092	6882.646520137787
168	8713.605	134.62456	8853.064	8504.247	0.049680613	0.0028759756	0.05802447	0.045036923	6923.991202354431
169	8774.729	103.29226	8872.213	8626.269	0.052669458	0.0027138798	0.060370535	0.048040275	6966.628001213074
170	8691.86	235.87947	9014.468	8372.751	0.0506213	0.0021569906	0.055423573	0.045622014	7009.314194202423
171	8771.211	138.00986	8955.64	8585.263	0.051162817	0.003241138	0.058517832	0.04329947	7052.02578163147
172	8870.266	142.52376	9018.234	8708.712	0.0476419	0.003482644	0.05623199	0.039517645	7094.668772220612
