Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	Time
120	8334.627	148.85434	8535.235	8170.5576	0.028603798	0.003406841	0.040848885	0.022842582	5050.099408626556
121	8381.848	124.00487	8584.458	8266.809	0.047174662	0.011827852	0.07147429	0.020781511	5093.343857765198
122	8414.014	44.224632	8485.784	8366.124	0.054801892	0.00781333	0.06562839	0.032700773	5136.624927520752
123	8187.8286	110.06339	8332.151	8045.998	0.06205513	0.009022072	0.074710734	0.03699686	5180.811095714569
124	7943.2163	93.11926	8072.2153	7819.7607	0.07745035	0.016358603	0.11789955	0.050980687	5224.358835935593
125	8313.193	291.34274	8808.121	8081.961	0.06066938	0.026251791	0.113549314	0.030435413	5268.552451610565
126	8090.6016	160.08318	8299.02	7865.125	0.054648813	0.011540042	0.088427804	0.03884525	5312.304070711136
127	8466.491	50.850773	8508.288	8382.633	0.0549466	0.00391652	0.064254664	0.047154643	5357.388366222382
128	8461.189	144.44983	8679.61	8273.879	0.060322978	0.008971341	0.0831328	0.045563694	5399.336772918701
129	8447.112	172.94043	8657.266	8175.885	0.045612853	0.015232376	0.08702498	0.028759863	5443.755799770355
130	8438.623	157.90933	8660.006	8275.898	0.04801769	0.007413486	0.06421408	0.035126716	5487.791761636734
131	8609.064	129.91971	8698.097	8384.813	0.049977493	0.01041099	0.07182707	0.030773332	5531.821100950241
132	8538.955	205.82936	8785.52	8236.049	0.045778252	0.009854967	0.062319968	0.02955725	5572.870586633682
133	8283.832	149.4781	8483.677	8127.4565	0.04532433	0.009400435	0.06696832	0.031239199	5613.532195329666
134	8386.891	156.36372	8530.259	8129.2905	0.041748412	0.0046950844	0.052322283	0.03339384	5657.549121856689
135	8242.463	102.75274	8410.712	8140.71	0.0390291	0.007076598	0.05112239	0.024428187	5700.707563638687
136	8415.182	168.44582	8659.305	8206.821	0.03365005	0.006971501	0.05404237	0.024183845	5741.580577611923
137	8466.838	271.5024	8703.402	8021.2754	0.031258766	0.00812354	0.049793143	0.020193221	5784.720472097397
138	8471.574	63.457397	8541.652	8369.938	0.0506337	0.015179019	0.079785496	0.026541267	5826.715199947357
139	8481.359	200.14607	8727.945	8173.3774	0.04881617	0.007336007	0.06348167	0.032150503	5868.697404623032
140	7841.668	1031.3756	8638.753	6068.6997	0.048861794	0.010078568	0.071336545	0.03278324	5911.971071004868
141	8228.848	325.07513	8600.828	7720.092	0.04659823	0.0065882644	0.059072938	0.031093966	5952.617982149124
142	8399.832	129.26309	8573.205	8240.771	0.04864064	0.008567576	0.06352782	0.030483684	5991.642451286316
143	8273.272	233.80424	8601.398	7985.259	0.059079383	0.013684116	0.08317327	0.03337719	6032.964229822159
144	8380.19	127.64649	8590.244	8245.867	0.0450298	0.0048192483	0.055044375	0.03656301	6076.757604122162
145	8420.033	198.291	8704.996	8165.6865	0.040825088	0.0053590224	0.050974052	0.02761372	6119.359304666519
146	8495.619	100.05807	8577.827	8326.775	0.044498354	0.008781506	0.06545648	0.028771548	6163.725613832474
147	8477.087	70.24195	8578.952	8388.753	0.050087325	0.0059881485	0.06427463	0.040715724	6204.732506513596
148	8488.079	197.44208	8752.987	8211.853	0.048578084	0.011146219	0.06845998	0.035079747	6245.165378332138
149	8663.183	88.746765	8787.917	8545.722	0.04978282	0.00884822	0.06803626	0.036720853	6286.7367968559265
150	8487.922	99.19747	8595.04	8325.589	0.040905084	0.0040781265	0.050150402	0.03239191	6327.352550506592
151	8474.549	119.727356	8636.834	8298.738	0.04260068	0.0073939026	0.054515366	0.026933307	6365.556353569031
152	8560.11	142.70132	8773.517	8403.073	0.035210013	0.0070656165	0.053535674	0.021778509	6408.695861816406
153	8574.644	42.393894	8619.764	8513.427	0.03386786	0.0056638415	0.04663512	0.023697881	6445.131163358688
154	8595.621	138.62956	8834.966	8499.193	0.02941826	0.0069570118	0.044721324	0.0216245	6481.733200550079
155	8358.8	98.39176	8447.83	8198.624	0.03602003	0.008265764	0.06338139	0.0239877	6519.5393834114075
156	8073.542	314.40967	8347.472	7565.2393	0.05598986	0.009429145	0.074948214	0.038399924	6562.823776006699
157	8441.505	73.47922	8536.477	8344.896	0.04058719	0.0046676407	0.053630456	0.033218645	6607.198523521423
158	8497.812	93.10757	8593.37	8343.883	0.044708077	0.004282663	0.055700127	0.03488296	6645.820383548737
159	8600.936	222.08661	8908.233	8298.943	0.044559304	0.0059754523	0.058302898	0.034689207	6686.827949523926
160	8291.076	77.18823	8379.039	8205.736	0.053207885	0.013884846	0.07383422	0.025275033	6725.999530315399
161	8685.363	184.15237	8912.541	8427.984	0.062213287	0.0084557915	0.08728794	0.038675014	6762.755014657974
162	8529.469	178.4625	8764.248	8320.935	0.044858806	0.015535083	0.07749491	0.026632525	6799.253832101822
163	8608.512	107.304115	8727.029	8466.949	0.03998406	0.010050288	0.07118082	0.030304393	6841.569877386093
164	8701.141	143.44756	8903.35	8524.866	0.03795562	0.010611905	0.07167599	0.028455634	6883.787866353989
165	8662.564	120.95393	8822.845	8502.695	0.041994836	0.009321316	0.06836459	0.028967708	6924.248710155487
166	8752.386	177.96106	8924.626	8487.822	0.039041825	0.005181507	0.04943531	0.029218985	6967.465724229813
167	8562.118	221.48102	8861.669	8242.356	0.07641437	0.01907668	0.111873545	0.03707347	7010.940465927124
168	8652.275	147.0117	8786.503	8403.902	0.06454868	0.011916052	0.08518585	0.032362785	7050.159579277039
169	8683.568	180.36424	8819.26	8373.758	0.051765	0.014886938	0.07924967	0.030916668	7086.5602424144745
170	8579.491	117.22159	8726.734	8428.245	0.05572345	0.008618014	0.07217676	0.040470567	7123.017581939697
171	8646.1875	223.04048	8893.894	8348.823	0.058496345	0.014991506	0.081261575	0.029098693	7166.007159471512
172	8622.918	203.91814	8869.694	8331.367	0.06106691	0.008720959	0.07860706	0.03842369	7209.1664044857025
173	8663.463	140.63583	8820.314	8467.328	0.05485485	0.0071609574	0.06906283	0.037764985	7249.445560216904
174	8601.633	103.28552	8735.222	8445.468	0.06189901	0.006661503	0.0798257	0.045646124	7286.2971131801605
175	8434.86	51.107113	8512.55	8386.711	0.062590264	0.009957362	0.07896298	0.03651633	7323.072088003159
176	8617.694	212.0107	8818.959	8317.77	0.065270826	0.011243502	0.086086735	0.038906813	7359.741122245789
177	8543.784	103.33656	8665.271	8391.251	0.061150692	0.010686836	0.080546714	0.036183972	7401.880748510361
178	8590.822	86.0973	8676.731	8448.085	0.059751846	0.008723017	0.07213512	0.038709663	7445.505836486816
179	8470.508	70.0476	8529.796	8357.06	0.06535577	0.008236732	0.079608746	0.046763264	7487.7358293533325
180	8555.537	133.76144	8753.182	8396.6	0.06475834	0.0070480173	0.078795694	0.054018516	7531.412133693695
181	8454.224	75.868866	8507.401	8324.437	0.056957725	0.010524426	0.078700446	0.038009904	7574.858443021774
